Stratum,DMCS,PMCS,PLCS,CFCS,NLCS,NCCS
20,22.7264981,16.6041113,12.4563033,16.8798939,31.2180932,26.5283833
19,22.7264981,16.6041113,12.4563033,16.8798939,31.2180932,26.5283833
18,22.8567282,16.2411293,12.4563033,16.8048844,31.2180932,26.5283833
17,22.9869583,15.8781473,12.4563033,16.7298748,31.2180932,26.5283833
16,22.9869583,16.3975198,12.4563033,16.0000775,28.8678199,26.5283833
14,23.2474185,16.5539102,12.74334,16.5798556,29.5965383,26.5283833
12,23.4576871,15.1521833,12.8868583,16.1399474,29.7004516,26.5283833
10,23.6679556,16.866691,13.0303767,16.4298365,30.3252567,26.5283833
9,23.7683388,16.6885591,13.0431219,16.2798174,29.8043649,26.5283833
7,23.9284158,16.5104271,13.1143376,15.8684468,30.4569079,26.5283833
6,24.0884928,16.5551754,13.1855534,15.9363261,27.8245391,26.5283833
5,24.0036239,16.5999237,13.2211613,15.4570762,30.4980861,26.5283833
4,23.918755,16.1541632,13.2567692,15.5928347,30.5186752,27.1661167
3,24.4086467,15.7084027,13.327985,15.7285932,30.5392644,27.1661167
2,23.7490172,16.0207795,12.2015933,15.8643517,30.1443608,27.1661167
1,23.0893877,16.3331563,13.327984,16.0001102,29.7494573,27.1661167