Stratum,Dm CS,Dm PD,Pman CS,Pman PD,Plong CS,Plong PD,Cfor CS,Cfor PD,Nlep CS,Nlep PD,Ncin CS,Ncin PD,CS,Cfor,PD,Nlep,CS,Nlep,PD,Ncin,CS,Ncin,PD
1,23.08938773,0.483890858,16.33315634,0.559418014,13.327984,0.40336457,16.00011021,0.614541483,29.74945731,0.583810702,27.16611667,0.333996172,,,,,,,,,,,
2,23.7490172,0.402364692,16.0207795,0.535697629,12.20159333,0.400305667,15.86435172,0.590427363,30.14436083,0.566092289,27.16611667,0.333996172,,,,,,,,,,,
3,24.40864667,0.320838526,15.70840267,0.511977243,13.327985,0.40336457,15.72859323,0.566313243,30.53926435,0.548373876,27.16611667,0.333996172,,,,,,,,,,,
4,23.91875498,0.340261066,16.15416318,0.547368578,13.25676921,0.406413319,15.59283473,0.542199124,30.51867524,0.512468661,27.16611667,0.333996172,,,,,,,,,,,
5,24.00362387,0.309209252,16.59992369,0.582759914,13.22116132,0.407937694,15.45707624,0.518085004,30.49808613,0.476563446,26.52838333,0.417305467,,,,,,,,,,,
6,24.08849276,0.278157439,16.5551754,0.579747555,13.18555343,0.409462069,15.93632605,0.513885293,27.82453914,0.264063821,26.52838333,0.417305467,,,,,,,,,,,
7,23.9284158,0.256816896,16.51042711,0.576735196,13.11433764,0.412510818,15.8684468,0.501828233,30.45690792,0.404753016,26.52838333,0.417305467,,,,,,,,,,,
9,23.76833884,0.235476353,16.68855908,0.591418504,13.04312185,0.415559568,16.27981737,0.485571463,29.8043649,0.453375045,26.52838333,0.417305467,,,,,,,,,,,
10,23.66795562,0.242850536,16.86669104,0.606101813,13.03037667,0.363188773,16.4298365,0.463781438,30.32525666,0.364103779,26.52838333,0.417305467,,,,,,,,,,,
12,23.45768705,0.225197084,15.15218333,0.520469683,12.88685833,0.360036138,16.13994742,0.488321152,29.70045158,0.419580019,26.52838333,0.417305467,,,,,,,,,,,
14,23.24741848,0.207543632,16.55391019,0.574724218,12.74334,0.356883503,16.57985564,0.441991412,29.59653826,0.385784993,26.52838333,0.417305467,,,,,,,,,,,
16,22.9869583,0.193577272,16.39751976,0.559035421,12.45630333,0.350578233,16.00007747,0.491070841,28.86781987,0.407466206,26.52838333,0.417305467,,,,,,,,,,,
17,22.9869583,0.193577272,15.87814733,0.535720976,12.45630333,0.350578233,16.72987478,0.420201387,31.21809316,0.568262173,26.52838333,0.417305467,,,,,,,,,,,
18,22.85672822,0.186594092,16.24112933,0.543346623,12.45630333,0.350578233,16.80488435,0.409306374,31.21809316,0.568262173,26.52838333,0.417305467,,,,,,,,,,,
19,22.72649813,0.179610912,16.60411133,0.55097227,12.45630333,0.350578233,16.87989391,0.398411361,31.21809316,0.568262173,26.52838333,0.417305467,,,,,,,,,,,
20,22.7264981,22.7264981,16.60411133,0.55097227,12.45630333,0.350578233,16.87989391,0.398411361,31.21809316,0.568262173,26.52838333,0.417305467,,,,,,,,,,,